,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15
,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor
0,1,1,1,1,1,0.5108883609147885,1.18971070520422,1.8,0.8549089917121677,0.5715227629192807,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6292899562598654,1.0604889180536667,1.8,0.8980200867821394,0.6395436513398174,1,1,1,1,1,1,1,1,1,1,0.9418354505573269,1.8,0.44281602919079743,0.5276877360327431,0.28547013567290536,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.981777016902327,1.8,0.618668567144853,0.5390958291162045,0.29195233439617047,1,1,1,1,1
1,1,1,1,1,1,0.44518652683221155,1.2835962347589367,0.8625093098996148,0.8246274133516954,0.5306060319980678,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.5943906729291538,1.0943924463183365,1.0169851999795678,0.8865486160495128,0.6201602310180531,1,1,1,1,1,1,1,1,1,1,0.9444262490029807,2.4156630040966265,0.38115742925587337,0.5284410531823716,0.2858943964532945,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9821945367761732,2.3638674911143,0.5720624771420463,0.5392127917411024,0.2920194458182854,1,1,1,1,1
2,1,1,1,1,1,0.44881645459480773,1.27785705066631,0.7863871456724704,0.8264533819224583,0.5329365770140695,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.615994836142077,1.07305252472131,0.9822061701054938,0.8937557927026996,0.6322194790538236,1,1,1,1,1,1,1,1,1,1,0.9442283075488462,2.4159429175510736,0.6557958605220086,0.5283835646727849,0.2858620011420638,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9829658310906924,2.36284206426985,0.969457490212099,0.5394287371187567,0.29214338783062244,1,1,1,1,1
3,1,1,1,1,1,0.47148154312517315,1.2435863716639135,0.7692325303111995,0.8374249979496805,0.5472957916316852,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6150787668452692,1.0739335439083701,0.9982787168911081,0.8934573487915245,0.6317122330823054,1,1,1,1,1,1,1,1,1,1,0.9432644426941346,2.4173072450763367,0.6853668269188147,0.5281034710933066,0.2857042092191891,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9822058270335001,2.36385247160078,0.9874326222809219,0.5392159539573533,0.2920212604399616,1,1,1,1,1
4,1,1,1,1,1,0.47505691879775,1.2384132749317036,0.7809767744879376,0.8390912802546305,0.5495315560315627,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6146868170102885,1.0743111455525267,0.9978842809136671,0.8933294604184655,0.6314950811909106,1,1,1,1,1,1,1,1,1,1,0.9431225704676731,2.4175082447408736,0.6877012003795934,0.5280622219142177,0.28568097739783155,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9821503645409808,2.36392625529002,0.9876816804892921,0.5392004197161373,0.2920123462903811,1,1,1,1,1
5,1,1,1,1,1,0.4748367053469423,1.2387301452972501,0.7839691642493467,0.8389891381585639,0.5493940766305078,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6145870810161539,1.0744073491047934,0.9976550454444967,0.8932968798910439,0.6314397803936107,1,1,1,1,1,1,1,1,1,1,0.9431314566742306,2.4174956536914003,0.6877992325237838,0.5280648057332891,0.28568243257670645,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9821462359172501,2.3639317479604167,0.9877250397653943,0.5391992633240994,0.29201168271741423,1,1,1,1,1
6,1,1,1,1,1,0.4746938021878462,1.2389358942071766,0.784053812550845,0.8389228210316806,0.5493048463355813,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.6145617632906154,1.0744317616777568,0.9975953392200542,0.8932886124163895,0.6314257488445785,1,1,1,1,1,1,1,1,1,1,0.9431371592305385,2.41748757371877,0.687792097262936,0.5280664638390649,0.285683366407118,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9821457112533462,2.363932445974417,0.9877367165278033,0.5391991163688674,0.29201159839012203,1,1,1,1,1
