,0
0,308351.4544312312
1,308351.45443123125
2,308351.45443123125
3,308351.45443123125
4,308344.682009111
5,308351.45443123125
6,308351.45443123125
7,308351.45443123125
8,308351.4544312312
9,308351.4544312313
10,308351.45443123125
11,308351.4544312313
12,308351.4544312312
13,308351.4544312313
14,308351.45443123125
15,308351.45443123125
16,308351.45443123125
17,308351.45443123125
18,308351.45443123125
19,308351.4544312312
20,308351.45443123125
21,308351.45443123125
22,308351.45443123125
23,308351.45443123125
24,308351.45443123125
25,308351.45443123125
26,308351.4544312312
27,308351.4544312313
28,308351.45443123125
29,308351.45443123125
30,308344.7492890899
31,308351.45443123125
32,308351.45443123125
33,308351.45443123125
34,308351.4544312312
35,308345.25808597996
36,308351.45443123125
37,308351.45443123125
38,308351.4544312312
39,308351.45443123125
40,308351.45443123125
41,308349.05440317496
42,929368.0172176536
43,308351.45443123125
44,308351.45443123125
45,308351.4544312312
46,308351.4544312313
47,308351.4544312313
48,308351.45443123125
49,308351.45443123125
50,308351.45443123125
51,308351.45443123125
52,308351.45443123125
53,308351.45443123125
54,308351.45443123125
55,308351.4544312312
56,308351.4544312313
57,308351.45443123125
58,308351.45443123125
59,308351.4544312313
60,308351.45443123125
61,308351.45443123125
62,929661.3566165047
63,308348.4862422765
64,308351.4544312313
65,308351.45443123125
66,308348.48641111207
67,308746.71383172664
68,930008.5375767696
69,308952.1089359774
70,309071.786198772
71,309188.6020898438
72,309319.9463373425
73,309443.3873379096
74,309525.7328769935
75,309560.87621863594
76,309593.8670478072
77,309629.2201433487
78,309663.3484953765
79,1322699.8022615854
80,309699.46808256395
81,309518.6619415021
82,309769.09407586145
83,309809.3592124565
84,309844.9615881711
85,309883.7045948522
86,309921.9129420369
87,309960.576000444
88,310000.14255748235
89,310039.50085094955
90,310083.5713887837
91,935449.8156437681
92,310249.6334860341
93,1322706.5085790402
94,310243.7301529466
95,310288.07882104506
96,1329646.617387763
