,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,6,6,6,6,6,7,7,7,7,7,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11,12,12,12,12,12,13,13,13,13,13,14,14,14,14,14,15,15,15,15,15
,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor,kwcor,diacor,heightcor,packcostcor,surfAcor
0,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,0.98,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0.9603999999999999,1.0404,1.0404,1.0404,0.9603999999999999,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9603999999999999,1.0404,1.0404,1.0404,1.0404,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,0.9603999999999999,1.0404,1.0404,1.0404,1.0404,1,1,1,1,1,1,1,1,1,1
2,1,1,1,1,1,1,1,1,1,1,0.9411919999999999,1.061208,1.061208,1.0462740308578116,0.9411919999999999,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9411919999999999,1.061208,1.061208,1.061208,1.061208,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,0.9411919999999999,1.061208,1.061208,1.061208,1.061208,1,1,1,1,1,1,1,1,1,1
3,1,1,1,1,1,1,1,1,1,1,0.9223681599999999,1.08243216,1.08243216,1.0462733904646115,0.9223681599999999,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9223681599999999,1.08243216,1.08243216,1.08243216,1.08243216,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.98,1.02,1.02,1.02,1.02,1,1,1,1,1,1,1,1,1,1,0.9223681599999999,1.08243216,1.08243216,1.08243216,1.08243216,1,1,1,1,1,1,1,1,1,1
4,1,1,1,1,1,1,1,1,1,1,0.9039207967999998,1.1040808032,1.1040808032,1.047471556277251,0.9039207967999998,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.9039207967999998,1.1040808032,1.1040808032,1.1040808032,1.1040808032,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9603999999999999,1.0404,1.0404,1.0404,1.0404,1,1,1,1,1,1,1,1,1,1,0.9039207967999998,1.1040808032,1.1040808032,1.1040808032,1.1040808032,1,1,1,1,1,1,1,1,1,1
5,1,1,1,1,1,1,1,1,1,1,0.8858423808639998,1.126162419264,1.126162419264,1.0462224328084133,0.8951096172949046,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8858423808639998,1.126162419264,1.126162419264,1.126162419264,1.126162419264,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9411919999999999,1.061208,1.061208,1.061208,1.061208,1,1,1,1,1,1,1,1,1,1,0.8858423808639998,1.126162419264,1.126162419264,1.126162419264,1.126162419264,1,1,1,1,1,1,1,1,1,1
6,1,1,1,1,1,1,1,1,1,1,0.8681255332467198,1.14868566764928,1.14868566764928,1.0462733904642687,0.8952078998217466,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8681255332467198,1.14868566764928,1.14868566764928,1.1479998523347765,1.1359878019694036,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9223681599999999,1.08243216,1.08243216,1.08243216,1.08243216,1,1,1,1,1,1,1,1,1,1,0.8681255332467198,1.1332400885688003,1.14868566764928,1.14868566764928,1.14868566764928,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,0.8507630225817854,1.1716593810022657,1.1716593810022657,1.0462675368445615,0.8951966089692052,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8507630225817854,1.1716593810022657,1.1716593810022657,1.147999381404596,1.1359864321522197,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9039207967999998,1.1040808032,1.1040808032,1.1040808032,1.1040808032,1,1,1,1,1,1,1,1,1,1,0.8507630225817854,1.133240091296312,1.1716593810022657,1.1716593810022657,1.1716593810022657,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,0.8337477621301497,1.195092568622311,1.195092568622311,1.0462730980663375,0.8952073358191703,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8337477621301497,1.195092568622311,1.195092568622311,1.1479997622357314,1.1359875398947303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8858423808639998,1.126162419264,1.126162419264,1.126162419264,1.126162419264,1,1,1,1,1,1,1,1,1,1,0.8337477621301497,1.1332400912465026,1.195092568622311,1.195092568622311,1.195092568622311,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,0.8170728068875467,1.2189944199947573,1.2189944199947573,1.0462732104646528,0.8952075526228219,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8170728068875467,1.2189944199947573,1.2189944199947573,1.1479996892635103,1.1359873276372647,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8681255332467198,1.14868566764928,1.14868566764928,1.14868566764928,1.14868566764928,1,1,1,1,1,1,1,1,1,1,0.8170728068875467,1.1332400912399268,1.2189944199947573,1.2189944199947573,1.2189944199947573,1,1,1,1,1,1,1,1,1,1
10,1,1,1,1,1,1,1,1,1,1,0.8007313507497957,1.2433743083946525,1.2433743083946525,1.0481047641090702,0.898752124150146,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.8007313507497957,1.2433743083946525,1.2433743083946525,1.1479996892639446,1.1359873276385284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8507630225817854,1.1544797291640498,1.1716593810022657,1.1716593810022657,1.1716593810022657,1,1,1,1,1,1,1,1,1,1,0.8007313507497957,1.1332400938058322,1.2433743083946525,1.2433743083946525,1.2433743083946525,1,1,1,1,1,1,1,1,1,1
11,1,1,1,1,1,1,1,1,1,1,0.7847167237347998,1.2682417945625455,1.2682417945625455,1.0462737908028434,0.8952086720301877,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7847167237347998,1.2682417945625455,1.2682417945625455,1.1479997817385734,1.1359875966234594,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8337477621301497,1.1544792322468085,1.195092568622311,1.195092568622311,1.195092568622311,1,1,1,1,1,1,1,1,1,1,0.7847167237347998,1.1332400912939393,1.2682417945625455,1.2682417945625455,1.2682417945625455,1,1,1,1,1,1,1,1,1,1
12,1,1,1,1,1,1,1,1,1,1,0.7690223892601038,1.2936066304537963,1.2936066304537963,1.046273390464334,0.895207899821872,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7690223892601038,1.2936066304537963,1.2936066304537963,1.1479997935917472,1.1359876311012715,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8170728068875467,1.1544794918827734,1.2189944199947573,1.2189944199947573,1.2189944199947573,1,1,1,1,1,1,1,1,1,1,0.7690223892601038,1.1332400912941034,1.2936066304537963,1.2936066304537963,1.2936066304537963,1,1,1,1,1,1,1,1,1,1
13,1,1,1,1,1,1,1,1,1,1,0.7536419414749017,1.3194787630628724,1.3194787630628724,1.0462732906545575,0.8952077073007615,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7536419414749017,1.3194787630628724,1.3194787630628724,1.1479996892637772,1.1359873276380412,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8007313507497957,1.1544794851353941,1.2433743083946525,1.2433743083946525,1.2433743083946525,1,1,1,1,1,1,1,1,1,1,0.7536419414749017,1.133240086666825,1.3194787630628724,1.3194787630628724,1.3194787630628724,1,1,1,1,1,1,1,1,1,1
14,1,1,1,1,1,1,1,1,1,1,0.7385691026454037,1.3458683383241299,1.3458683383241299,1.0462569226921137,0.895176136293271,1,1,1,1,1,1.0,1.0,1.0,1.0,1.0,0.7385691026454037,1.3458683383241299,1.3458683383241299,1.1479996892639635,1.1359873276385832,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.7847167237347998,1.1544786270386815,1.2682417945625455,1.2682417945625455,1.2682417945625455,1,1,1,1,1,1,1,1,1,1,0.7385691026454037,1.1332400914338339,1.3458683383241299,1.3458683383241299,1.3458683383241299,1,1,1,1,1,1,1,1,1,1
